"Subject" "Activity" "Body.Acceleration.X.Mean" "Body.Acceleration.Y.Mean" "Body.Acceleration.Z.Mean" "Body.Gyroscope.X.Mean" "Body.Gyroscope.Y.Mean" "Body.Gyroscope.Z.Mean" "Total.Acceleration.X.Mean" "Total.Acceleration.Y.Mean" "Total.Acceleration.Z.Mean" "Body.Acceleration.X.Std" "Body.Acceleration.Y.Std" "Body.Acceleration.Z.Std" "Body.Gyroscope.X.Std" "Body.Gyroscope.Y.Std" "Body.Gyroscope.Z.Std" "Total.Acceleration.X.Std" "Total.Acceleration.Y.Std" "Total.Acceleration.Z.Std"
1 1 -0.010574450988166 -0.00570665205463453 -0.0104304634818287 -0.194186817345446 -0.0362831807592872 -0.021567948978174 -0.123795272089248 -0.2991938206373 -0.353172612592664 0.331248925654616 0.182982718630507 0.172061351248123 0.590250131423052 0.664433657955097 0.409948586893123 0.00837690280915496 0.203785175544311 0.194094230113464
2 1 -0.00370352675583594 -0.00341291982935286 -0.00445201479294759 -0.227071467540551 -0.0299057863098698 -0.0142448617716198 -0.0201704198310169 -0.291535963224542 -0.32671588222737 0.2920550375164 0.173981781539545 0.13993980156131 0.481814938599583 0.533968564770877 0.337206833203757 0.00669376638275987 0.161878146901618 0.151062321575611
3 1 -0.00273239684713268 0.00178905728473547 -0.0103911605827906 -0.140566789961102 -0.0136396683408621 -0.038579698202744 0.0436765687777549 -0.302287830845581 -0.308974661679413 0.284130647481677 0.164520510086936 0.130461087925764 0.492345849798636 0.41979430265049 0.301925542122557 0.00873884507002537 0.135234186322508 0.117671488104894
4 1 -0.00298749082946278 -0.00351664876657227 -0.00493818082629221 -0.116042321930099 -0.00676735950863607 -0.0247425240489067 0.115506460558757 -0.275651425645842 -0.247940444967903 0.259722868446514 0.162316918009873 0.127003977896404 0.445462139710968 0.439412871361049 0.316625099417188 0.00873950020565393 0.137758272092079 0.103729774548824
5 1 -0.00328623179679427 -0.00888588710660156 -0.00366036510819792 -0.0638685423616042 -0.0170921670452969 -0.0184289594696354 0.179011822604167 -0.278436761967083 -0.208306045480104 0.227312841071271 0.144779568852498 0.115307566537627 0.453227154262417 0.466430496658603 0.310950047098539 0.0069123581909445 0.103285076320904 0.105829120060464
6 1 -0.00258524509007223 -0.000112497218348924 -0.00506513127503048 -0.0854089990578022 -0.00271827171203715 -0.0233980837320932 0.255702737330483 -0.245521245986865 -0.187461177201843 0.260004420321615 0.119825899446604 0.118933754266794 0.424241081095934 0.410797348683959 0.268428242645194 0.0317974927454939 0.136304742679327 0.114970443871676
7 1 -0.0017183385353736 -0.00849381331950084 -0.00194334808865527 -0.0285513381457282 -0.0208747271015485 -0.0152920942571784 0.936480673882115 -0.259030720070777 -0.143771160680903 0.241809314726476 0.0800058328790727 0.0863039406404426 0.382934545256284 0.299216377519162 0.219061209970553 0.356610967288274 0.137944674705155 0.0933887327070091
8 1 -0.00227034789600184 0.00125823179575614 -0.000994715334890778 -0.0150941890912638 -0.0224889789878873 -0.00680649305441916 0.962642727588848 -0.22866516975723 -0.132930745828434 0.239859486543042 0.0591374646601184 0.0541246029720186 0.236602389413672 0.197604400384609 0.152440013285065 0.302236571422655 0.127739680515981 0.119782295222264
9 1 -0.00145521395398437 -0.00156714595354883 0.000459374328452093 -0.045874740388019 0.00281559578262137 -0.0108131940919894 0.960571485044643 -0.230767061802372 -0.104831572907146 0.171023000975995 0.0420581017610139 0.0293548961050123 0.168416213106533 0.157346022586434 0.116490863401582 0.257849131725915 0.102150202679488 0.0930385913830607
10 1 -0.00174258391658462 -0.00143598527856714 -0.0004778458320139 -0.0106860986615082 -0.00477580532901644 -0.00216461691864347 0.974727222564935 -0.206601770816498 -0.0964559035982813 0.0865476558469877 0.0217970037456433 0.0305481072320968 0.121353715319 0.122912765072053 0.0728119953460367 0.2688912800231 0.0870515757244138 0.102001253089722
